Vol,Kind,File,SHA1,Size,URL
"100 (Damaged)","zip","Vol 100 (Damaged).zip","40318ec211dc9723e12d1324c49daee809b6d515","60120993","https://archive.org/download/champak-jogo-disk-archive/Vol%20100%20(Damaged).zip"
"103","zip","Vol 103.zip","17298683777b50e38b66e6f05042cd84d8445ce0","23008653","https://archive.org/download/champak-jogo-disk-archive/Vol%20103.zip"
"104","zip","Vol 104.zip","3914a53c7bf60fdd1232168fe2daf0b2f9fd4ce8","47733121","https://archive.org/download/champak-jogo-disk-archive/Vol%20104.zip"
"106","zip","Vol 106.zip","1a2fc083b77f3fe3fd4af60654928c6aa812c421","67676400","https://archive.org/download/champak-jogo-disk-archive/Vol%20106.zip"
"108","zip","Vol 108.zip","4d51e093b93496c683e80e74578e4c839588c4f9","39942004","https://archive.org/download/champak-jogo-disk-archive/Vol%20108.zip"
"109","zip","Vol 109.zip","3b8b54ffcdd63fdfdbb4e1ed15823f5c675cb7c6","74575181","https://archive.org/download/champak-jogo-disk-archive/Vol%20109.zip"
"11","zip","Vol 11.zip","14154b7afd7a8684bf8f8c74fd558c68091dc13e","131532782","https://archive.org/download/champak-jogo-disk-archive/Vol%2011.zip"
"110","zip","Vol 110.zip","112fd4d343c0940de2f91f53b3c7608425efa34c","33280415","https://archive.org/download/champak-jogo-disk-archive/Vol%20110.zip"
"112","zip","Vol 112.zip","92b3dffcd56f76e8d421ca16ff7dc8de1331d1c7","43458702","https://archive.org/download/champak-jogo-disk-archive/Vol%20112.zip"
"114","zip","Vol 114.zip","a5578d6f2663e0a0c05e6e0e3eed6b5c64a87219","91689995","https://archive.org/download/champak-jogo-disk-archive/Vol%20114.zip"
"116","zip","Vol 116.zip","b22fbcf51315936a88387880821e4de2a49ac613","58427103","https://archive.org/download/champak-jogo-disk-archive/Vol%20116.zip"
"117","zip","Vol 117.zip","4d0aeeab882664570a03cc066bf27065cb6a3a75","47290762","https://archive.org/download/champak-jogo-disk-archive/Vol%20117.zip"
"119","zip","Vol 119.zip","ae78abd3897b60640d15c5bb77dfe6e2924f27e0","57951982","https://archive.org/download/champak-jogo-disk-archive/Vol%20119.zip"
"12","zip","Vol 12.zip","940043c0334bd16e8d73643405dcc03c3d706f32","86226115","https://archive.org/download/champak-jogo-disk-archive/Vol%2012.zip"
"120","zip","Vol 120.zip","5d89e48ae00fbe0aa13bea833d39264bab2e91b0","36608607","https://archive.org/download/champak-jogo-disk-archive/Vol%20120.zip"
"122","zip","Vol 122.zip","4a5dda329ac427ec9c0abaf68823c350a9a44292","52681609","https://archive.org/download/champak-jogo-disk-archive/Vol%20122.zip"
"123","zip","Vol 123.zip","4564297a48341f1a604aa6ced2698c9f7ec720e7","32755861","https://archive.org/download/champak-jogo-disk-archive/Vol%20123.zip"
"125 (Damaged)","zip","Vol 125 (Damaged).zip","4154228f0043082963fd43ef80cc5ebcf2ba483e","33964229","https://archive.org/download/champak-jogo-disk-archive/Vol%20125%20(Damaged).zip"
"127 (Damaged)","zip","Vol 127 (Damaged).zip","3182cee0d0cf62ff419b7b3116807e2edb98e54b","5587254","https://archive.org/download/champak-jogo-disk-archive/Vol%20127%20(Damaged).zip"
"128 (Damaged)","zip","Vol 128 (Damaged).zip","633196a9e5ef5924129820c005e0369fe0f1e60b","15395798","https://archive.org/download/champak-jogo-disk-archive/Vol%20128%20(Damaged).zip"
"129","zip","Vol 129.zip","6ffcc9198ab1f1aa5dac973983057536ede0428d","74499879","https://archive.org/download/champak-jogo-disk-archive/Vol%20129.zip"
"130","zip","Vol 130.zip","7b6a519bca1c2bd94fdb6827903f21b9c808036d","75082093","https://archive.org/download/champak-jogo-disk-archive/Vol%20130.zip"
"132","zip","Vol 132.zip","85291a0260d998676a2ab8610e53af80e7e017d7","74773525","https://archive.org/download/champak-jogo-disk-archive/Vol%20132.zip"
"134","zip","Vol 134.zip","a3d964bbd5c505784c60d51d54a7edd5a567c818","64595115","https://archive.org/download/champak-jogo-disk-archive/Vol%20134.zip"
"135","zip","Vol 135.zip","177876c6186c1d0de05eda3c12e03053a631ee40","57096497","https://archive.org/download/champak-jogo-disk-archive/Vol%20135.zip"
"136","zip","Vol 136.zip","e494e8c64ae7a89fbfc9c407354aa13287f8c4e4","68903890","https://archive.org/download/champak-jogo-disk-archive/Vol%20136.zip"
"138","zip","Vol 138.zip","7e03b8c8dd4525367fac04885caa85d41985114e","30533448","https://archive.org/download/champak-jogo-disk-archive/Vol%20138.zip"
"139","zip","Vol 139.zip","5f016b37737046fb7337bd52f1acb00aafdd771b","31076869","https://archive.org/download/champak-jogo-disk-archive/Vol%20139.zip"
"140","zip","Vol 140.zip","7bd8a7ab82e4a2e490c1a71521b085b0362d5df2","66603960","https://archive.org/download/champak-jogo-disk-archive/Vol%20140.zip"
"141","zip","Vol 141.zip","c3d92ad461d0550b742cdfaf0ab8d5e547e1afcd","89368417","https://archive.org/download/champak-jogo-disk-archive/Vol%20141.zip"
"142 (Damaged)","zip","Vol 142 (Damaged).zip","ff170290c5b7405870634a9dfe239535f610cb84","51447960","https://archive.org/download/champak-jogo-disk-archive/Vol%20142%20(Damaged).zip"
"143","zip","Vol 143.zip","1fafed7f8154dec30de120e4dc2ab8b8709be1f4","49403657","https://archive.org/download/champak-jogo-disk-archive/Vol%20143.zip"
"144","zip","Vol 144.zip","70a50e793e0681cfae7eae040ad9f38e637a733e","135911122","https://archive.org/download/champak-jogo-disk-archive/Vol%20144.zip"
"145","zip","Vol 145.zip","ab1809671e6fa4247f9a3a4737828c8e8f108a27","63367620","https://archive.org/download/champak-jogo-disk-archive/Vol%20145.zip"
"146","zip","Vol 146.zip","b0d65ce98f2dc471a7b4b9d1578636ecbe3b744e","23806280","https://archive.org/download/champak-jogo-disk-archive/Vol%20146.zip"
"147","zip","Vol 147.zip","84f71f0d5ca654ad587f5ba107176eada5841267","60839286","https://archive.org/download/champak-jogo-disk-archive/Vol%20147.zip"
"148","zip","Vol 148.zip","5da098e0b8b5e04407482e35cb2027dedab875ce","86957684","https://archive.org/download/champak-jogo-disk-archive/Vol%20148.zip"
"149","zip","Vol 149.zip","a4d384670630a310ece53bf42f396e3882f60af9","52787205","https://archive.org/download/champak-jogo-disk-archive/Vol%20149.zip"
"25","zip","Vol 25.zip","856f25e91c82635210279a7b95fb5df74ba8f2e9","113822921","https://archive.org/download/champak-jogo-disk-archive/Vol%2025.zip"
"26 (Anniversary Edition)","zip","Vol 26 (Anniversary Edition).zip","0fbcac7661fde06223a497e38b09d3a0308c3c0b","437108935","https://archive.org/download/champak-jogo-disk-archive/Vol%2026%20(Anniversary%20Edition).zip"
"28","zip","Vol 28.zip","a41cb4268f4985577019535f122ea0cc06e481e3","120565119","https://archive.org/download/champak-jogo-disk-archive/Vol%2028.zip"
"29","zip","Vol 29.zip","f4cd56d201f546617d5fb1583161ea9adfe0e522","171048422","https://archive.org/download/champak-jogo-disk-archive/Vol%2029.zip"
"30","zip","Vol 30.zip","26e5109bb70035d5033ba602e3ce116159e09b6b","167104134","https://archive.org/download/champak-jogo-disk-archive/Vol%2030.zip"
"31","zip","Vol 31.zip","30ade5502cedc7e8155544bfb897317f46e2a31d","84096910","https://archive.org/download/champak-jogo-disk-archive/Vol%2031.zip"
"33","zip","Vol 33.zip","2dafe42b74cd1c0008aea2cc675638038184b2b6","100702619","https://archive.org/download/champak-jogo-disk-archive/Vol%2033.zip"
"34","zip","Vol 34.zip","73bc7e72dc66cff5247c31a41cad78d94e556a85","72782283","https://archive.org/download/champak-jogo-disk-archive/Vol%2034.zip"
"35","zip","Vol 35.zip","abb9a594570bc5237363294646d5673894f9e5a1","111114116","https://archive.org/download/champak-jogo-disk-archive/Vol%2035.zip"
"36","zip","Vol 36.zip","43c9bf55a20af5ee52a776e6358e1a5ec488c0cb","97594627","https://archive.org/download/champak-jogo-disk-archive/Vol%2036.zip"
"37","zip","Vol 37.zip","4a00b7fdbbed2aad90ce8f5cb5e491f72e10b3d7","71651106","https://archive.org/download/champak-jogo-disk-archive/Vol%2037.zip"
"38","zip","Vol 38.zip","3437e43431431630e639f81a09bd5dc893db0ef9","72190098","https://archive.org/download/champak-jogo-disk-archive/Vol%2038.zip"
"39","zip","Vol 39.zip","78a6ac553d7dc41f14b86d9e9fce5574a33d6541","84381781","https://archive.org/download/champak-jogo-disk-archive/Vol%2039.zip"
"40","zip","Vol 40.zip","a51db03e3b5b98bb94509461a490ec71a7f8ccb4","162981208","https://archive.org/download/champak-jogo-disk-archive/Vol%2040.zip"
"41","zip","Vol 41.zip","8816d8fdecf113552e21d60201d50be6ae1eb7b4","125064690","https://archive.org/download/champak-jogo-disk-archive/Vol%2041.zip"
"43","zip","Vol 43.zip","dd83060525b35cca0f02d85ba69998b6a2cf157a","202019357","https://archive.org/download/champak-jogo-disk-archive/Vol%2043.zip"
"44","zip","Vol 44.zip","b500448239b5f538cfa605089b62d65f961604a0","93758363","https://archive.org/download/champak-jogo-disk-archive/Vol%2044.zip"
"45","zip","Vol 45.zip","d3031cbc5463d278e3e2d5990d99dbf0c1502218","318097037","https://archive.org/download/champak-jogo-disk-archive/Vol%2045.zip"
"46","zip","Vol 46.zip","e614e4db544e7d8307b4c8510745d0da38c097bf","821235947","https://archive.org/download/champak-jogo-disk-archive/Vol%2046.zip"
"47","zip","Vol 47.zip","6bb754a4f16d4ad6ae44cf930b939212fbf4f14b","141093350","https://archive.org/download/champak-jogo-disk-archive/Vol%2047.zip"
"49","zip","Vol 49.zip","a188823cd551499c4ea698cec8f08c8eef074673","117430814","https://archive.org/download/champak-jogo-disk-archive/Vol%2049.zip"
"50","zip","Vol 50.zip","cfed46511307f1577b8b77476e4885c0d6971e6e","87875107","https://archive.org/download/champak-jogo-disk-archive/Vol%2050.zip"
"52","zip","Vol 52.zip","e746715c2d0df4847d8307ca6f884653fb7a3203","89120888","https://archive.org/download/champak-jogo-disk-archive/Vol%2052.zip"
"53","zip","Vol 53.zip","3638c067a312545f724d31b0e8bdc3ae15ca3ce9","95612145","https://archive.org/download/champak-jogo-disk-archive/Vol%2053.zip"
"54","zip","Vol 54.zip","9f0216977bb92cb4afeb96733772dc2e0bb29f31","135575913","https://archive.org/download/champak-jogo-disk-archive/Vol%2054.zip"
"55","zip","Vol 55.zip","43247e5aafadbdea6bb9986b45cdb5b9e5ce405c","78704637","https://archive.org/download/champak-jogo-disk-archive/Vol%2055.zip"
"56","zip","Vol 56.zip","eded20b9f1dde86aa81e377b3bab662d8d14538e","74254532","https://archive.org/download/champak-jogo-disk-archive/Vol%2056.zip"
"59","zip","Vol 59.zip","de755b5abfb19832c4ecf2b08d01d21a004b1a2d","80456689","https://archive.org/download/champak-jogo-disk-archive/Vol%2059.zip"
"60","zip","Vol 60.zip","a1a89f91b981d4efd9d7b5c2fa570fbc857c3304","89606728","https://archive.org/download/champak-jogo-disk-archive/Vol%2060.zip"
"61","zip","Vol 61.zip","9fe9f56d2326466d9d39caccf84f77d023459f91","69003642","https://archive.org/download/champak-jogo-disk-archive/Vol%2061.zip"
"62","zip","Vol 62.zip","302e70880bee64c7d2f96f144183950ace675078","72013890","https://archive.org/download/champak-jogo-disk-archive/Vol%2062.zip"
"63","zip","Vol 63.zip","668b6f8906d91b7029dce7e1ac79f739325c85c3","51537143","https://archive.org/download/champak-jogo-disk-archive/Vol%2063.zip"
"64","zip","Vol 64.zip","43fb65fc4a3845304662a35b9fe6923c1c7ff354","59284301","https://archive.org/download/champak-jogo-disk-archive/Vol%2064.zip"
"65","zip","Vol 65.zip","86b456116df9b487bd479e4b8c89e36fb0e38edc","60067605","https://archive.org/download/champak-jogo-disk-archive/Vol%2065.zip"
"66","zip","Vol 66.zip","07214747a6b2ced088f81a1ac7f7353d63b7e27f","94566894","https://archive.org/download/champak-jogo-disk-archive/Vol%2066.zip"
"74 (Damaged)","zip","Vol 74 (Damaged).zip","e6a93131eb2c4e69671ec584f96d51059fd528ac","21366714","https://archive.org/download/champak-jogo-disk-archive/Vol%2074%20(Damaged).zip"
